SalePrice,LnSalePrice,LandContour_Lvl,LandContour_Low,LandContour_HLS,LandContour_Bnk,flatContour,hasGarage,Bathrooms,BldingType_TwnhsE,BldingType_Twnhs,BldingType_Duplex,BldingType_2fmCon,BldingType_1Fam,streetIsPaved,closeToAmentity,YrSold_2010,YrSold_2009,YrSold_2008,YrSold_2007,YrSold_2006,pop_density,closeToRailorRoad,LocationProxy,Age,Mo Sold,Garage Area,Fireplaces,TotRms AbvGrd,Kitchen AbvGr,Bedroom AbvGr,Gr Liv Area,Central Air,Overall Cond,Overall Qual,Lot Area,Lot Frontage,kitchen_Ex
215000,12.2783933071098,1,0,0,0,1,1,1.0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,62,5,528.0,2,7,1,3,1656,1,5,6,31770,141.0,0
105000,11.56171562913966,1,0,0,0,1,1,1.0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,2,61,6,730.0,0,5,1,2,896,1,6,5,11622,80.0,0
172000,12.05524975579559,1,0,0,0,1,1,1.5,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,64,6,312.0,0,6,1,3,1329,1,6,6,14267,81.0,0
244000,12.404923504275338,1,0,0,0,1,1,2.5,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,54,4,522.0,2,8,1,3,2110,1,5,7,11160,93.0,1
189900,12.154252896800378,1,0,0,0,1,1,2.5,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3,25,3,482.0,1,6,1,3,1629,1,5,5,13830,74.0,0
195500,12.183315658407558,1,0,0,0,1,1,2.5,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3,24,6,470.0,1,7,1,3,1604,1,6,6,9978,78.0,0
213500,12.271392111650817,1,0,0,0,1,1,2.0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,4,21,4,582.0,0,6,1,2,1338,1,5,8,4920,41.0,0
191500,12.162643087602838,0,0,1,0,0,1,2.0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,4,30,1,506.0,0,5,1,2,1280,1,5,8,5005,43.0,0
236500,12.373703486914124,1,0,0,0,1,1,2.0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,4,27,3,608.0,1,5,1,2,1616,1,5,8,5389,39.0,0
189000,12.14950229404178,1,0,0,0,1,1,2.5,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3,23,6,442.0,1,7,1,3,1804,1,5,7,7500,60.0,0
175900,12.077670930725649,1,0,0,0,1,1,2.5,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3,29,4,440.0,1,7,1,3,1655,1,5,6,10000,75.0,0
185000,12.128111104060462,1,0,0,0,1,1,2.0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3,30,3,420.0,0,6,1,3,1187,1,7,6,7980,74.81,0
180400,12.10293188661066,1,0,0,0,1,1,2.5,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3,24,5,393.0,1,7,1,3,1465,1,5,6,8402,63.0,0
171500,12.052338545588132,1,0,0,0,1,1,1.5,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3,32,2,506.0,1,5,1,2,1341,1,5,7,10176,85.0,0
212000,12.26434155365415,1,0,0,0,1,1,1.5,1,0,0,0,0,1,0,1,0,0,0,0,3,0,4,37,6,528.0,0,4,1,1,1502,1,5,8,6820,74.81,0
164000,12.007621706806335,0,0,0,1,0,1,2.0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3,34,6,492.0,0,8,1,4,1752,1,7,8,12134,152.0,0
394432,12.885202034321916,1,0,0,0,1,1,1.5,0,0,0,0,1,1,0,1,0,0,0,0,3,0,4,12,6,834.0,1,8,1,1,1856,1,2,9,11394,88.0,1
141000,11.856515169360305,1,0,0,0,1,1,1.0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3,71,6,400.0,0,4,1,2,864,1,5,4,19138,140.0,0
210000,12.254862809699606,1,0,0,0,1,1,2.0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,44,2,500.0,2,7,1,3,2073,1,6,6,13175,85.0,0
190000,12.154779351142624,1,0,0,0,1,1,2.0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,45,1,546.0,1,7,1,3,1844,1,6,6,11751,105.0,0
216000,12.283033686666302,1,0,0,0,1,1,2.5,0,0,0,0,1,1,0,1,0,0,0,0,4,0,4,22,1,663.0,0,7,1,3,1674,1,5,7,7500,66.85,0
149000,11.911701584927597,1,0,0,0,1,1,1.0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,52,3,480.0,1,5,1,2,1004,1,7,6,11241,74.81,0
149900,11.917723684090689,1,0,0,0,1,1,1.5,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,51,4,500.0,1,6,1,3,1078,1,6,5,12537,74.81,0
142000,11.863582336583399,1,0,0,0,1,1,1.0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,54,7,304.0,1,6,1,3,1056,1,6,5,8450,65.0,0
126000,11.744037185933616,1,0,0,0,1,1,1.0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,52,4,525.0,0,4,1,2,882,1,5,4,8400,70.0,0
115000,11.652687407345388,1,0,0,0,1,0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,2,51,4,0.0,1,5,1,3,864,1,5,4,10500,70.0,0
184000,12.122691036591123,1,0,0,0,1,1,2.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,23,6,511.0,1,5,1,2,1337,1,5,7,5858,26.0,0
96000,11.472103470449973,1,0,0,0,1,1,1.5,0,1,0,0,0,1,0,1,0,0,0,0,2,0,1,51,2,264.0,0,5,1,2,987,1,5,6,1680,21.0,0
